,link,builtup_area,carpet_area,rooms,furnish,address,bathrooms,balcony,facing,gas_pipline,gated_community,swimming_pool,gym,intercom,power_backup,garden,sports,more_amenities,current_floor,total_floor,lease_type,property_age,covered_parking,open_parking,school,university,bus_stop,railway,mall,metro_station,hospital,restaurant,rent
0,https://housing.com/rent/18675908-550-sqft-1-bhk-apartment-on-rent-in-goregaon-west-mumbai,550,400,1,Semi Furnished,"34 Park Estate, Prem Nagar, Goregaon West, Mumbai",2,0,West,0,1,1,1,1,1,1,1,30,25,34,Family,1,1,0,0,1,0,1,0,1,1,0,41000
1,https://housing.com/rent/18690946-954-sqft-2-bhk-apartment-on-rent-in-wadala-east-mumbai,954,710,2,Unfurnished,"Ajmera Bhakti Park, Bhakti Park, Wadala East, Mumbai",2,0,East,0,1,1,1,1,1,1,1,48,12,18,Family  Bachelor  Company,22,1,0,1,1,0,0,0,0,1,1,70000
2,https://housing.com/rent/16465091-550-sqft-1-bhk-apartment-on-rent-in-andheri-west-mumbai-v2,550,450,1,Fully Furnished,"VERSOVA VIEW, Four Bungalows, Andheri West, Mumbai",2,0,West,0,0,0,0,0,0,0,0,0,1,4,Family  Bachelor  Company,18,0,0,0,1,0,0,0,1,1,0,50000
3,https://housing.com/rent/18701032-1500-sqft-3-bhk-apartment-on-rent-in-khar-west-mumbai,1500,1200,3,Semi Furnished,"Khar West, Mumbai",3,0,West,0,0,0,0,1,1,0,0,0,5,7,Family,20,1,0,1,1,0,0,0,0,1,1,240000
4,https://housing.com/rent/17696373-2800-sqft-3-bhk-apartment-on-rent-in-wadala-mumbai,2800,1950,3,Semi Furnished,"Bombay Island City Center, Spring Mill Complex, Wadala, Mumbai",3,0,,1,1,1,1,1,1,1,1,58,6,56,Bachelor  Company,6,1,1,1,1,0,0,0,0,1,1,350000
5,https://housing.com/rent/18176363-2275-sqft-4-bhk-apartment-on-rent-in-powai-mumbai,2275,1782,4,Semi Furnished,"L And T Emerald Isle, Chandivali, Powai, Mumbai",4,2,East,0,1,1,1,1,1,1,1,43,10,24,Family,9,2,1,1,1,0,0,0,1,1,0,205000
6,https://housing.com/rent/18659741-1220-sqft-3-bhk-apartment-on-rent-in-chembur-mumbai,1220,1150,3,Fully Furnished,"Tulsi Medos, Chembur, Mumbai",3,3,East,1,1,1,1,1,1,1,1,6,10,15,Family  Bachelor  Company,4,1,1,1,1,1,1,0,0,1,1,130100
7,https://housing.com/rent/17920281-800-sqft-2-bhk-apartment-on-rent-in-malad-west-mumbai,800,751,2,Unfurnished,"Lotus Sky Garden, Lourdes Colony, Malad West, Mumbai",2,0,South-West,0,1,1,0,1,1,0,1,33,15,36,Family  Bachelor,1,1,1,0,1,0,0,0,1,1,0,60000
8,https://housing.com/rent/17549397-1326-sqft-3-bhk-apartment-on-rent-in-parel-mumbai,1326,1325,3,Semi Furnished,"Runwal Nirvana Part I, Parel, Mumbai",4,1,South-East,0,1,1,1,1,0,1,1,30,34,50,Family  Bachelor  Company,0,2,1,1,1,0,0,0,0,1,1,195000
9,https://housing.com/rent/18357427-600-sqft-1-bhk-apartment-on-rent-in-sion-mumbai,600,514,1,Semi Furnished,"Lodha New Cuffe Parade Lodha Altia, Sion, Mumbai",1,2,East,1,1,1,1,1,1,1,1,24,18,43,Family  Bachelor  Company,4,1,0,1,1,0,0,0,0,1,1,75000
10,https://housing.com/rent/17298192-1212-sqft-2.5-bhk-apartment-on-rent-in-chembur-mumbai,1212,902,2.5,Semi Furnished,"Godrej Central, Sahakar Nagar, Chembur, Mumbai",2,1,East,1,1,1,1,1,1,1,1,33,6,14,Family  Bachelor  Company,4,1,0,1,1,0,0,0,0,1,1,85000
11,https://housing.com/rent/18675469-550-sqft-1-bhk-apartment-on-rent-in-pali-hill-mumbai,550,475,1,Semi Furnished,"Springfield, Pali Hill, Mumbai",2,0,East,0,0,0,0,0,1,0,0,0,2,10,Family  Bachelor  Company,20,0,1,1,1,0,0,0,0,1,1,105000
12,https://housing.com/rent/18683823-550-sqft-1-bhk-apartment-on-rent-in-bhandup-west-mumbai,550,402,1,Semi Furnished,"Rustomjee Bella Wing C And D, Jaydev Singh Nagar, Bhandup West, Mumbai",1,1,West,0,1,0,1,1,1,1,1,43,15,22,Family,1,1,0,1,1,0,0,0,0,1,1,35000
13,https://housing.com/rent/18702540-680-sqft-2-bhk-apartment-on-rent-in-bhandup-west-mumbai,680,535,2,Semi Furnished,"Shraddha Evoque, Sonapur, Bhandup West, Mumbai",2,3,,0,0,1,0,0,0,0,0,17,15,40,Family  Bachelor,1,1,1,1,1,1,0,0,0,1,1,33000
14,https://housing.com/rent/18672726-450-sqft-1-bhk-apartment-on-rent-in-kanjurmarg-west-mumbai,450,446,1,Semi Furnished,"Sheth Avante, Kanjurmarg West, Mumbai",2,0,East,0,1,1,1,1,1,1,1,41,10,25,Family  Bachelor  Company,1,1,0,1,1,0,1,0,1,1,0,38500
15,https://housing.com/rent/18509118-650-sqft-2-bhk-apartment-on-rent-in-malad-east-mumbai,650,569,2,Fully Furnished,"Sethia Imperial Avenue, Padmaba Nagar, Malad East, Mumbai",2,0,East,1,1,1,1,1,1,1,0,26,33,40,Family  Bachelor,1,0,0,1,1,0,0,0,1,1,0,60000
16,https://housing.com/rent/17717022-650-sqft-1-bhk-apartment-on-rent-in-powai-mumbai,650,550,1,Fully Furnished,"Hiranandani Regent Hill A B C D And E Wing, Hiranandani Gardens, Powai, Mumbai",1,0,West,1,1,1,1,1,1,1,1,22,15,23,Family  Bachelor,5,1,1,1,1,0,0,0,1,1,0,68000
17,https://housing.com/rent/18714705-890-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,890,629,2,Semi Furnished,"Neminath Nemi Bhavan, Motilal Nagar III, Goregaon West, Mumbai",2,0,East,1,1,0,1,1,1,0,0,15,28,29,Family  Bachelor  Company,1,1,0,0,1,0,0,0,1,1,0,65000
18,https://housing.com/rent/18638817-2500-sqft-3.5-bhk-apartment-on-rent-in-worli-mumbai,2500,2057,3.5,Semi Furnished,"Lokhandwala Minerva, Adarsh Nagar, Worli, Mumbai",3,1,North-East,1,1,1,1,1,1,1,1,32,37,50,Family  Company,2,2,0,1,1,0,0,0,0,1,1,330000
19,https://housing.com/rent/18723371-1150-sqft-2-bhk-apartment-on-rent-in-powai-mumbai,1150,800,2,Semi Furnished,"Panchkutir Ganesh Nagar, Powai, Mumbai",2,0,West,0,1,1,1,1,1,1,1,6,2,10,Family  Bachelor  Company,15,0,1,1,1,0,0,0,1,1,0,60000
